見出し,読み,原型,品詞,品詞細分類,意味情報,章番号,文番号
、,、,、,特殊,読点,NIL,0,10
おとな,おとな,おとな,名詞,普通名詞,代表表記:大人/おとな カテゴリ:人,0,10
の,の,の,助詞,接続助詞,NIL,0,10
人,じん,人,名詞,普通名詞,代表表記:人/じん カテゴリ:人 漢字読み:音,0,10
が,が,が,助詞,格助詞,NIL,0,10
和服,わふく,和服,名詞,普通名詞,代表表記:和服/わふく ドメイン:家庭・暮らし カテゴリ:人工物-衣類,0,10
の,の,の,助詞,接続助詞,NIL,0,10
上,うえ,上,名詞,副詞的名詞,代表表記:上/うえ,0,10
に,に,に,助詞,格助詞,NIL,0,10
着る,きる,着る,動詞,*,代表表記:着る/きる ドメイン:家庭・暮らし 反義:動詞:脱ぐ/ぬぐ,0,10
外とう,がいとう,外とう,名詞,普通名詞,代表表記:外套/がいとう ドメイン:家庭・暮らし カテゴリ:人工物-衣類,0,10
の,の,の,助詞,格助詞,NIL,0,10
、,、,、,特殊,読点,NIL,0,10
すその,すその,すその,名詞,普通名詞,代表表記:裾野/すその カテゴリ:場所-自然,0,10
ほう,ほう,ほう,名詞,副詞的名詞,代表表記:方/ほう,0,10
を,を,を,助詞,格助詞,NIL,0,10
短く,みじかく,短い,形容詞,*,代表表記:短い/みじかい 反義:形容詞:長い/ながい,0,10
した,した,する,接尾辞,動詞性接尾辞,代表表記:する/する,0,10
ような,ような,ようだ,助動詞,*,NIL,0,10
形,かた,形,名詞,普通名詞,代表表記:形/かた カテゴリ:形・模様 漢字読み:訓,0,10
で,で,だ,判定詞,*,NIL,0,10
、,、,、,特殊,読点,NIL,0,10
なんだか,なんだか,なんだか,副詞,*,代表表記:何だか/なんだか,0,10
、,、,、,特殊,読点,NIL,0,10
大きな,おおきな,大きな,連体詞,*,代表表記:大きな/おおきな 反義:連体詞:小さな/ちいさな 形容詞派生:大きい/おおきい,0,10
コウモリ,こうもり,コウモリ,名詞,普通名詞,代表表記:蝙蝠/こうもり カテゴリ:動物,0,10
が,が,が,助詞,格助詞,NIL,0,10
、,、,、,特殊,読点,NIL,0,10
羽,はね,羽,名詞,普通名詞,代表表記:羽根/はね カテゴリ:動物-部位,0,10
を,を,を,助詞,格助詞,NIL,0,10
ヒラヒラ,ひらひら,ヒラヒラ,副詞,*,代表表記:ヒラヒラ/ひらひら スル接続可能,0,10
さ,さ,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,0,10
