見出し,読み,原型,品詞,品詞細分類,意味情報,章番号,文番号
みんな,みんな,みんな,副詞,*,代表表記:皆/みんな 修飾（デ格）,8,32
の,の,の,助詞,格助詞,NIL,8,32
頭,あたま,頭,名詞,普通名詞,代表表記:頭/あたま カテゴリ:動物-部位 漢字読み:訓,8,32
の,の,の,助詞,接続助詞,NIL,8,32
上,うえ,上,名詞,副詞的名詞,代表表記:上/うえ,8,32
に,に,に,助詞,格助詞,NIL,8,32
、,、,、,特殊,読点,NIL,8,32
せまって,せまって,せまる,動詞,*,代表表記:迫る/せまる,8,32
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,8,32
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,8,32
。,。,。,特殊,句点,NIL,8,32
浮く,うく,浮く,動詞,*,代表表記:浮く/うく 反義:動詞:沈む/しずむ,8,33
力,ちから,力,名詞,普通名詞,代表表記:力/ちから カテゴリ:抽象物 漢字読み:訓,8,33
を,を,を,助詞,格助詞,NIL,8,33
うしなって,うしなって,うしなう,動詞,*,代表表記:失う/うしなう 反義:動詞:得る/える,8,33
、,、,、,特殊,読点,NIL,8,33
おそろしい,おそろしい,おそろしい,形容詞,*,代表表記:恐ろしい/おそろしい,8,33
