見出し,読み,原型,品詞,品詞細分類,意味情報,章番号,文番号
だして,だして,だす,動詞,*,代表表記:出す/だす 反義:動詞:隠す/かくす;動詞:入れる/いれる 自他動詞:自:出る/でる 補文ト 付属動詞候補（基本）,3,99
、,、,、,特殊,読点,NIL,3,99
この,この,この,指示詞,連体詞形態指示詞,NIL,3,99
トラ,とら,トラ,名詞,普通名詞,代表表記:虎/とら カテゴリ:動物,3,99
を,を,を,助詞,格助詞,NIL,3,99
取り,とり,取る,動詞,*,代表表記:取る/とる 自他動詞:自:取れる/とれる 付属動詞候補（基本）,3,99
かえす,かえす,かえす,動詞,*,代表表記:帰す/かえす 自他動詞:自:帰る/かえる,3,99
のだ,のだ,のだ,助動詞,*,NIL,3,99
。,。,。,特殊,句点,NIL,3,99
盗ま,ぬすま,盗む,動詞,*,代表表記:盗む/ぬすむ,3,100
れて,れて,れる,接尾辞,動詞性接尾辞,代表表記:れる/れる,3,100
から,から,から,助詞,接続助詞,NIL,3,100
、,、,、,特殊,読点,NIL,3,100
二,に,二,名詞,数詞,カテゴリ:数量,3,100
ヵ,ヵ,ヵ,未定義語,カタカナ,未知語:カタカナ 品詞推定:名詞,3,100
月,げつ,月,名詞,時相名詞,代表表記:月/げつ カテゴリ:時間 漢字読み:音,3,100
の,の,の,助詞,接続助詞,NIL,3,100
うち,うち,うち,名詞,副詞的名詞,代表表記:うち/うち,3,100
に,に,に,助詞,格助詞,NIL,3,100
、,、,、,特殊,読点,NIL,3,100
取りもどしたら,とりもどしたら,取りもどす,動詞,*,代表表記:取り戻す/とりもどす,3,100
、,、,、,特殊,読点,NIL,3,100
きみ,きみ,きみ,名詞,普通名詞,代表表記:君/きみ カテゴリ:人 漢字読み:訓,3,100
たち,たち,たち,接尾辞,名詞性名詞接尾辞,代表表記:達/たち,3,100
の,の,の,助詞,接続助詞,NIL,3,100
勝ち,かち,勝ち,名詞,普通名詞,代表表記:勝ち/かちv 反義:動詞:負ける/まける 連用形名詞化:勝つ/かつ,3,100
だ,だ,だ,判定詞,*,NIL,3,100
。,。,。,特殊,句点,NIL,3,100
もし,もし,もし,副詞,*,代表表記:もし/もし,3,101
